Don 	Prérequis 	Description 	Eberron
Gourmand		"Vous maîtrisez de nombreuses recettes spéciales, ce qui vous permet de préparer des plats exotiques avec des effets utiles. Vous gagnez les avantages suivants :
Augmentez votre valeur de Constitution de +1, jusqu'à un maximum de 20.
Vous gagnez la maîtrise des ustensiles de cuisine. Si vous les maîtrisez déjà, vous ajoutez le double de votre bonus de maîtrise aux jets que vous faîtes avec eux.
Par une action, vous pouvez inspecter un verre ou une assiette de nourriture qui se trouve à 1,50 mètre ou moins de vous et déterminer s'il est empoisonné, à condition que vous puissiez le voir et le sentir.
Pendant un repos long, vous pouvez préparer et servir un repas qui vous aidera, vous et vos alliés, à récupérer des rigueurs de l'aventure, à condition que vous ayez de la nourriture appropriée, des ustensiles de cuisine et d'autres fournitures en main. Le repas nourrit jusqu'à six personnes, et chaque personne qui mange récupère deux Dés de Vie supplémentaires à la fin du repos long. En outre, ceux qui participent au repas ont l'avantage aux jets de sauvegarde de Constitution contre la maladie pour les prochaines 24 heures."	
Guérisseur		"Vous êtes un habile médecin, ce qui vous permet de guérir les blessures rapidement pour que vos alliés puissent retourner au combat. Vous gagnez les avantages suivants :
Lorsque vous utilisez une trousse de soins pour stabiliser une créature mourante, cette créature regagne également 1 point de vie.
Par une action, vous pouvez dépenser une utilisation d'une trousse de soins pour soigner une créature et lui redonner 1d6 + 4 points de vie, plus un nombre de points de vie supplémentaires égal au nombre maximum de Dés de vie de la créature. La créature ne peut pas bénéficier de vos soins de nouveau jusqu'à ce qu'elle termine un repos court ou long."	
Guerrier du bouclier		"Vous avez maîtrisé l'art de vous battre avec un bouclier. Votre bouclier est simplement une autre arme à votre disposition afin de contrôler le rythme de la bataille. Vous gagnez les avantages et les capacités suivantes lorsque vous portez un bouclier :
Si vous réalisez une action Attaquer durant votre tour, vous pouvez utiliser une Action Bonus afin de réaliser un Coup de Bouclier sur une créature qui est à portée d'attaque de mêlée. Cela compte comme une attaque qui inflige 1d6 dégâts contondants.
Au prix d'une action, vous pouvez réaliser une Attaque Bélier. Il s'agit d'une attaque de mêlée réalisée avec votre bouclier qui inflige 1d6 dégâts contondants si elle touche et force la créature a réussir un jet de sauvegarde de Dextérité (DD = 8 + votre bonus de maitrise + votre modificateur de Force) ou être mise à terre. La cible doit être d'une taille égale ou inférieur à la votre.
Au prix d'une action, vous pouvez placer votre bouclier face à vous et prendre une posture défensive. Toutes les attaques d'armes que vous pouvez voir ont un désavantage contre vous. Vous êtes également préparé à contre-attaquer dès que l'opportunité se présente, ce qui vous permet d'utiliser votre réaction afin de réaliser une attaque contre une créature qui vous a attaqué et qui se trouve à portée d'attaque."	
Harmonie sauvage	Elfe	"Vous développez un lien mystique très puissant avec le monde naturel, ce qui vous octroie les avantages suivants lorsque vous vous trouvez dans celui-ci :
Lorsque vous utilisez un dé de vie pendant un repos court afin de regagner des points de vie, le résultat du dé de vie est doublé.
Vous avez l'avantage au jet d'Initiative.
Vous localisez parfaitement la position de chaque créature présente dans un rayon de 18m lors de votre premier tour de combat."	
Haute magie drow	Elfe (drow)	Vous pouvez lancer détection de la magie (à volonté), lévitation et dissipation de la magie (1/repos long).	
Héritage Draconique éveillé	Drakéide	Le lien ancestral qui unit le drakéide aux dragons s’intensifie, renforçant son souffle élémentaire et sa résistance naturelle. Le personnage peut utiliser son souffle plus fréquemment et bénéficie d’une meilleure maîtrise de l’énergie draconique qui coule dans ses veines.	
Historien		"Vos études sur l'histoire sont récompensées avec les avantages suivants :
Augmentez votre valeur d'Intelligence de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Histoire. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Lorsque vous prenez l'action Aider pour soutenir le jet de caractéristique d'une autre créature, vous pouvez effectuer un jet d'Intelligence (Histoire) DD 15. En cas de réussite, le jet de cette créature gagne un bonus égal à votre bonus de maîtrise, car vous partagez avec elle des conseils pertinents et des exemples historiques. Pour recevoir ce bonus, la créature doit pouvoir comprendre ce que vous dites."	
Initié à la magie		"Choisissez une classe : barde, clerc, druide, ensorceleur, magicien ou occultiste. Vous apprenez deux sorts mineurs de votre choix parmi la liste de sorts de cette classe.
En outre, choisissez un sort de niveau 1 à apprendre dans cette même liste. En utilisant ce don, vous pouvez lancer le sort à son niveau le plus bas et devez ensuite terminer un repos long avant de pouvoir le lancer à nouveau de cette manière.
Votre caractéristique d'incantation ces sorts dépend de la classe que vous avez choisie : Charisme pour barde, ensorceleur ou occultiste ; Sagesse pour clerc ou druide ; Intelligence pour magicien."	
Initié au combat	Maîtrise d'une arme de guerre	Vous apprenez une option de Style de combat de la classe de guerrier.	
Initié des artificiers		Vous apprenez 1 sort mineur et 1 sort de niv 1 d'artificier (à lancer sans emplacement), maîtrise d'un type d'outils d'artisan.	
Investigateur		"Vous avez l'oeil pour les détails et pouvez détecter les plus petits indices. Vous obtenez les avantages suivants :
Augmentez votre valeur d'Intelligence de 1, pour un maximum de 20.
Vous gagnez la maîtrise de la compétence Investigation. Si vous maîtrisez déjà cette compétence, ajoutez le double de votre bonus de maîtrise aux jets de cette compétence.
Vous pouvez prendre l'action Rechercher en tant qu'action bonus."	
L'ami de tout le monde	Demi-elfe	"Vous avez développé une personnalité magnétique dans le but de vous simplifier la vie. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Charisme de 1, pour un maximum de 20.
Vous gagnez la maîtrise des compétences Tromperie et Persuasion. Si vous maîtriseriez déjà l'une ou l'autre de ces compétences (ou les deux), votre bonus de maîtrise est doublé quand vous utilisez ladite compétence."	
Linguiste		"Vous avez étudié les langues et les codes, et bénéficiez des avantages suivants :
Augmentez votre valeur d'Intelligence de 1, jusqu'à un maximum de 20.
Vous apprenez trois langues de votre choix.
Vous pouvez coder des messages avec compétence. D'autres personnes ne peuvent déchiffrer un code que vous avez créé à moins que vous le leur ayez enseigné, qu'elles réussissent un jet d'Intelligence (DD égal à votre valeur d'Intelligence + votre bonus de maîtrise) ou qu'elles utilisent la magie pour le déchiffrer."	
Lutteur	13 ou plus en Force	"Vous avez développé les compétences nécessaires pour vous défendre tout seul dans les combats de rues. Vous obtenez les avantages suivants :
Vous avez un avantage aux jets d'attaque contre une créature avec laquelle vous êtes engagé dans une lutte.
Vous pouvez utiliser votre action pour tenter de bloquer une créature avec qui vous avez engagé une lutte. Dans ce cas, faites un nouveau jet de lutte. Si vous réussissez, vous et la créature êtes tous deux entravés jusqu'à ce que la lutte se termine."	
Mage de guerre	Capacité de lancer au moins un sort	"Vous avez pratiqué le lancer de sorts au milieu d'un combat, apprenant des techniques que vous accordent les avantages suivants :
Vous avez un avantage aux jets de sauvegarde de Constitution pour maintenir votre concentration sur un sort lorsque vous subissez des dégâts.
Vous pouvez effectuer les composantes somatiques d'un sort même si vous avez des armes ou un bouclier dans les mains.
Lorsque le mouvement d'une créature hostile provoque une attaque d'opportunité pour vous, vous pouvez utiliser votre réaction pour lancer un sort à la créature, plutôt que de faire une attaque d'opportunité. Le sort doit avoir un temps d'incantation de 1 action et ne doit viser que cette créature."	
Mage offensif	Capacité de lancer au moins un sort	"Vous avez appris des techniques pour améliorer vos attaques avec certains types de sorts, et vous obtenez les avantages suivants :
Lorsque vous lancez un sort qui vous oblige à faire un jet d'attaque, la portée du sort est doublée.
Vos attaques à distance avec un sort ignorent les abris partiels et les abris importants.
Vous apprenez un sort mineur qui nécessite un jet d'attaque. Choisissez un sort mineur de la liste de sorts de barde, clerc, druide, ensorceleur, magicien ou occultiste. Votre caractéristique d'incantation pour ce sort mineur dépend de la liste de sorts que vous avez choisie : Charisme pour barde, ensorceleur ou occultiste ; Sagesse pour clerc ou druide ; Intelligence pour magicien."	
Magie des elfes des bois	Elfe (bois)	Vous apprenez la magie des forêts primaires. Vous connaissez un sort mineur de druide de votre choix. Vous connaissez également les sorts grand pas et passage sans trace, et pouvez lancer chacun d'eux une fois sans dépenser d'emplacement de sort. Vous récupérez la capacité de lancer ces sorts via ce don après avoir terminé un repos long. La Sagesse est votre caractéristique de lanceur de sorts dans le cadre de ce don.	
Magie rituelle	13 ou plus en Intelligence ou Sagesse	"Vous avez appris un certain nombre de sorts que vous pouvez lancer comme des rituels. Ces sorts sont écrits dans un livre de rituels, que vous devez avoir en main lorsque vous lancez l'un d'entre eux.
Lorsque vous choisissez ce don, vous entrez en possession d'un livre de rituels qui comporte deux sorts de niveau 1 de votre choix. Choisissez l'une des classes suivantes : barde, clerc, druide, ensorceleur, magicien ou occultiste. Vous devez choisir vos sorts de la liste de sorts de cette classe, et les sorts que vous choisissez doivent avoir l'étiquette rituel. La classe que vous choisissez détermine également votre caractéristique d'incantation pour ces sorts : Charisme pour barde, ensorceleur ou occultiste ; Sagesse pour clerc ou druide ; Intelligence pour magicien.
Si vous tombez sur un sort sous une forme écrite, comme un parchemin de sort magique ou le grimoire d'un magicien, vous pouvez être en mesure de l'ajouter à votre livre de rituels. Le sort doit être sur la liste de sorts de la classe que vous avez choisie, le niveau du sort ne peut être supérieur à la moitié de votre niveau (arrondi au supérieur), et il doit avoir l'étiquette rituel. Le processus de copie du sort dans votre livre de rituels prend 2 heures par niveau du sort, au prix de 50 po par niveau. Le coût représente les composantes matérielles que vous dépensez lors d'expériences pour maîtriser le sort, ainsi que les fines encres dont vous avez besoin pour la copie."	
Maître d'armes		"Vous avez énormément pratiqué avec une grande variété d'armes, et obtenez les avantages suivants :
Augmentez votre valeur de Force ou de Dextérité de 1, jusqu'à un maximum de 20.
Vous gagnez la maîtrise de quatre armes de votre choix. Chacune d'elles doit être une arme courante ou une arme de guerre."	
Maître d'hast		"Vous pouvez garder vos ennemis à distance avec des armes à allonge. Vous obtenez les avantages suivants :
Lorsque vous prenez l'action Attaquer et attaquez avec seulement une coutille, une hallebarde, un bâton ou une lance, vous pouvez utiliser une action bonus pour effectuer une attaque au corps à corps avec l'extrémité opposée de l'arme. Cette attaque utilise le même modificateur de caractéristique que l'attaque initiale. Le dé de dégâts pour cette attaque est un d4, et l'attaque inflige des dégâts contondants.
Lorsque vous portez une coutille, une hallebarde, une pique, un bâton ou une lance, vous pouvez effectuer une attaque d'opportunité lorsqu'une créature entre à portée de votre allonge."	
Maître des armes à deux mains		"Vous avez appris à tirer avantage du poids d'une arme, laissant son élan augmenter l'efficacité de vos frappes. Vous obtenez les avantages suivants :
À votre tour, lorsque vous réalisez un coup critique avec une arme de corps à corps ou faîtes tomber les points de vie d'une créature à 0 avec ce type d'arme, vous pouvez réaliser une attaque au corps à corps avec une arme comme action bonus.
Avant de faire une attaque au corps à corps avec une arme lourde que vous maîtrisez, vous pouvez choisir de prendre un malus de -5 au jet d'attaque. Si l'attaque réussit, vous ajoutez +10 aux dégâts de l'attaque."	
Maître des armures intermédiaires	Maîtrise des armures intermédiaires	"Vous avez pratiqué le déplacement avec une armure intermédiaire pour obtenir les avantages suivants :
Porter une armure intermédiaire n'impose pas de désavantage à vos jets de Dextérité (Discrétion).
Lorsque vous portez une armure intermédiaire, vous pouvez ajouter 3, au lieu de 2, à votre CA si vous avez une Dextérité de 16 ou plus."	
Maître des armures lourdes	Maîtrise des armures lourdes	"Vous pouvez utiliser votre armure pour détourner des attaques qui en auraient tué plus d'un. Vous obtenez les avantages suivants :
Augmentez votre valeur de Force de 1, pour un maximum de 20.
Lorsque vous portez une armure lourde, les dégâts contondants, perforants et tranchants que vous recevez d'attaques non magiques sont réduits de 3."	
Maître des boucliers		"Vous utilisez les boucliers non seulement pour vous protéger, mais aussi de manière offensive. Vous obtenez les avantages suivants lorsque vous portez un bouclier :
Si vous prenez l'action Attaquer à votre tour, vous pouvez utiliser une action bonus pour essayer de bousculer une créature située à 1,50 mètre ou moins de vous avec votre bouclier.
Si vous n'êtes pas incapable d'agir, vous pouvez ajouter le bonus à la CA de votre bouclier à tout jet de sauvegarde de Dextérité contre tout sort ou autre effet nocif qui vous prend pour cible.
Si vous êtes soumis à un effet qui vous permet de faire un jet de sauvegarde de Dextérité pour ne prendre que la moitié des dégâts, vous pouvez utiliser votre réaction pour ne prendre aucun dommage si vous réussissez le jet de sauvegarde, en interposant votre bouclier entre vous et la source de l'effet."	
Maître-arbalétrier		"Grâce à votre longue pratique de l'arbalète, vous gagnez les avantages suivants :
Vous ignorez la propriété chargement des arbalètes que vous maîtrisez.
Être à 1,50 mètre ou moins d'une créature hostile n'impose pas un désavantage à vos jets d'attaque à distance.
Lorsque vous utilisez l'action Attaquer et attaquez avec une arme à une main, vous pouvez utiliser une action bonus pour attaquer avec une arbalète de poing si vous en tenez une."	
Marque férale supplémentaire	Féral, 2 autres dons de Féral	Le personnage sélectionne une 2nde marque férale parmi celles qui sont indiquées dans la description de sa race. Le personnage manifeste tous les avantages de cette 2nde marque férale à l'exception du bonus a une valeur de caractéristique 	x
Meneur exaltant	13 ou plus en Charisme	Vous pouvez passer 10 minutes à inspirer vos compagnons, confortant leur détermination à se battre. Lorsque vous faites cela, choisissez jusqu'à six créatures amicales (vous pouvez en faire partie) dans un rayon de 9 mètres autour de vous, qui peuvent vous voir ou vous entendre, et qui peuvent vous comprendre. Chaque créature peut gagner un nombre de points de vie temporaires égal à votre niveau + votre modificateur de Charisme. Une créature ne peut pas gagner de nouveaux points de vie temporaires grâce à ce don jusqu'à ce qu'elle ait fini un repos court ou long.	
Mobile		"Vous êtes exceptionnellement rapide. Vous gagnez les avantages suivants :
Votre vitesse augmente de 3 mètres.
Lorsque vous utilisez l'action Foncer, un terrain difficile ne vous coûte pas de mouvement supplémentaire pour ce tour.
Lorsque vous effectuez une attaque au corps à corps contre une créature, vous ne provoquez pas d'attaques d'opportunité pour cette créature pour le reste du tour, que vous touchiez ou pas."	
Morsure du prédateur	Féral longues dents, bonus de base à l'attaque +6	Les attaques de crocs du personnage voient leurs facteurs de critique passer à x3 	x
Observateur		"Vous notez rapidement des détails dans votre environnement. Vous gagnez les avantages suivants :
Augmentez votre valeur d'Intelligence ou de Sagesse de 1, pour un maximum de 20.
Si vous pouvez voir la bouche d'une créature alors qu'elle parle une langue que vous comprenez, vous pouvez interpréter ce qu'elle dit en lisant ses lèvres.
Vous avez un bonus de +5 à vos jets de Sagesse (Perception) passive et d'Intelligence (Investigation) passive."	
Peau barbelée	Tiefflin	"L'un de vos ancêtres était un diable barbelé ou tout autre fiélon hérissé d'épines. Des barbillons poussent sur votre tête. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Constitution ou de Charisme de 1, pour un maximum de 20.
En utilisant une action bonus, vous pouvez faire saillir des épines sur l'ensemble de votre corps ou les faire se rétracter. Au début de chacun de vos tours et tant que vos épines sont hérissées, vous infligez 1d6 dégâts perforants à toute créature qui vous agrippe ou à toute créature que vous agrippez.
Vous gagnez la maîtrise de la compétence Intimidation. Si vous la maîtrisez déjà, votre bonus de maîtrise pour cette compétence est doublé."	
Peau de bête	Féral peau de bête	Le bonus d'armure naturelle du personnage passe à +4 	x
Peur du dragon	Drakéide	"Lorsque vous êtes en colère vous irradiez le danger. Vous obtenez les avantages suivants :
Augmentez votre valeur de Force, de Constitution ou de Charisme de 1, pour un maximum de 20.
Plutôt que d'avoir un souffle basé sur une énergie destructrice, vous pouvez rugir et dépenser une utilisation de votre Arme de souffle pour forcer chaque créature de votre choix qui se trouve dans un rayon de 9 mètres autour de vous à effectuer un jet de sauvegarde de Sagesse (DD 8 + votre bonus de maîtrise + votre modificateur de Charisme). Une cible réussit automatiquement son jet de sauvegarde si elle ne peut ni vous voir ni vous entendre. En cas d'échec, vous effrayez la cible pendant 1 minute. Si une cible effrayée subit des dégâts, elle peut retenter son jet de sauvegarde, mettant un terme à l'effet qui l'affecte en cas de réussite."	
Porteur de rancunes	Nain	"Vous être habité par une haine viscérale envers un type de créature particulier. Choisissez vos ennemis, un type de créature qui devra subir votre courroux : aberration, bête, céleste, créature artificielle, dragon, élémentaire, fée, fiélon, géant, créature monstrueuse, vase, plante ou mort-vivant. Vous pouvez sinon choisir deux races d'humanoïdes (comme les gnolls et les orques). Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Force, de Constitution, ou de Sagesse de 1, pour un maximum de 20.
Au cours du premier round de chacun des combats que vous effectuez contre les ennemis choisis, vos jets d'attaque contre n'importe lequel d'entre eux ont l'avantage.
Quand n'importe lequel de vos ennemis choisis effectue une attaque d'opportunité contre vous, il effectue son jet d'attaque avec un désavantage.
Lorsque vous effectuez un jet d'Intelligence (Arcanes, Histoire, Nature ou Religion) pour vous rappeler d'une information concernant vos ennemis choisis, vous ajoutez le double de votre bonus de maîtrise au jet, même si vous ne maîtrisez normalement pas cette compétence."	
Pourfendeur		+1 en For. ou Dex., réduit la vitesse de 3 m en cas d'attaque réussie et désavantage aux jets d'attaque après un coup critique.	
Précision elfique	Demi-elfe, elfe	"Vous êtes doté d'un fantastique doigté. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Dextérité de 1, pour un maximum de 20.
À chaque fois que vous avez l'avantage à un jet d'attaque, vous pouvez relancer l'un des dés une fois de plus."	
Prodige	Demi-elfe, demi-orc, humain	"Vous êtes extrêmement doué pour apprendre de nouvelles choses. Vous obtenez les bénéfices suivants :
Augmentez la valeur d'une de vos caractéristiques de 1, pour un maximum de 20.
Vous gagnez la maîtrise d'une compétence et d'un outil de votre choix, et parlez couramment une langue de votre choix."	
Réduction des dégâts supérieure	Forgelier	Le personnage acquiert une réduction des dégâts de 1/Adamantium ou augmente sa réduction des dégâts existants de 1 point. Si le personnage dispose du don corps d'Adamantium il peut sélectionner ce don plusieurs fois.	x
Résilient		"Choisissez une caractéristique. Vous gagnez les avantages suivants :
Augmentez la valeur de cette caractéristique de 1, pour un maximum de 20.
Vous gagnez la maîtrise des jets de sauvegarde qui utilisent la caractéristique choisie."	
Robuste		Votre maximum de points de vie augmente d'un montant égal au double de votre niveau quand vous gagnez ce don. Chaque fois que vous gagnez un niveau par la suite, votre maximum de points de vie augmente de 2 points de vie supplémentaires.	
Sang de Khyber	Drakéide	Le drakéide porte en lui une influence sombre issue des profondeurs de Khyber. Il gagne une affinité avec les énergies corruptrices et intimidantes, renforçant ses capacités offensives ou psychologiques au prix d’une aura inquiétante.	x
Sang de Syberis	Drakéide	Le drakéide est touché par l’énergie céleste de Siberys. Son souffle ou ses capacités draconiques gagnent une dimension lumineuse ou protectrice, et il bénéficie d’une meilleure résistance aux influences mentales.	x
Sauvagerie réparatrice	Féral, Constitition 13	À la fin d'une période de sauvagerie le personnage récupéré immédiatement un nombre de points de vie égale à son niveau global. Cet avantage n'est pas applicable dans le cas d'un personnage qui meurt avant que sa sauvagerie ne prenne fin 	x
Sentinelle		"Vous maîtrisez les techniques pour tirer avantage de chaque faiblesse dans la garde de tout ennemi, et bénéficiez des avantages suivants :
Lorsque vous touchez une créature avec une attaque d'opportunité, la vitesse de la créature devient 0 pour le reste du tour.
Vous pouvez effectuer une attaque d'opportunité même si une créature prend l'action Se désengager avant de se mettre hors de portée de votre allonge.
Quand une créature à 1,50 mètre ou moins de vous fait une attaque contre une cible autre que vous (et que cette cible n'a pas ce don), vous pouvez utiliser votre réaction pour réaliser une attaque au corps à corps avec une arme contre la créature attaquante."	
Sociétaire influent	Race de la maison à marque draconique	La famille du personnage est très influente et puissante si bien qu'il a le privilège de pouvoir demander des faveurs à d'autres membres de sa maison et à leurs multiples relations. Par le biais d'un test de faveur le personnage peut faire appel à des contacts pour récupérer de précieux renseignements sans devoir subir les pertes de temps et autres soucis occasionnés par les tests de renseignement. Les faveurs peuvent également servir à bénéficier d'un prêt de matériel ou de documents auprès de relations influentes. Une requête de faveur se résout par le biais d'un test de faveur Le personnage lance un d20 auquel il ajoute un bonus dépendant de son niveau global défini comme suit 1 au niveau 1 et 2 au niveau 3 à 6, 3 au niveau 7 à 11, 4 au niveau 12 à 15 et 5 à partir du niveau 16. Le maître de jeu fixe le degré de difficulté du test en fonction de l'ampleur de la requête, ce qui peut aller de 10 pour une faveur très raisonnable jusqu'à 25 dans le cas d'une faveur particulièrement périlleuse chère ou illégale. Il n'est pas possible de faire 10 ou de faire 20 à ce test. De même on ne peut bénéficier d'une nouvelle tentative pour une même faveur ou une faveur presque identique. La fonction des faveurs est de faire avancer l'intrigue de l'aventure, une faveur visant à éviter l'intrigue ne saura en aucun cas être accordée au personnage quel que soit le résultat du test de faveur. Le personnage peut solliciter une telle faveur un nombre de fois par semaine égale à la moitié de son niveau global arrondi à l'inférieur. En aucun cas il ne pourra demander plus d'une faveur au même contact et dans la même semaine. Ainsi un personnage de niveau 7 peut solliciter jusqu'à 3 faveurs par semaine. Mais chaque requête doit s'adresser à une relation différente parmi celles qui sont associées avec sa maison marchande Le maître de jeu est parfaitement en droit de rejeter toute requête de faveur qu'il estime néfaste à sa campagne.	x
Soigneur		"Vous êtes un habile médecin, ce qui vous permet de guérir les blessures rapidement pour que vos alliés puissent retourner au combat. Vous gagnez les avantages suivants :
Lorsque vous utilisez une trousse de soins pour stabiliser une créature mourante, cette créature regagne également 1 point de vie.
Par une action, vous pouvez dépenser une utilisation d'une trousse de soins pour soigner une créature et lui redonner 1d6 + 4 points de vie, plus un nombre de points de vie supplémentaires égal au nombre maximum de dés de vie de la créature. La créature ne peut pas bénéficier de vos soins de nouveau jusqu'à ce qu'elle termine un repos court ou long."	
Souffle perfectionné	Drakéide, Héritage draconique éveillé	Le drakéide affine son souffle élémentaire, augmentant sa portée, sa précision ou sa puissance. Il peut également en modifier légèrement la forme, par exemple en cône plus étroit ou en ligne plus concentrée.	
Spécialiste		+1 dans une caractéristique, maîtrise d'une compétence et expertise dans une autre que vous maîtrisez.	
Télékinésie		+1 en Int., Sag. ou Cha., vous apprenez main de mage et pouvez tenter de pousser mentalement une créature (1,50 m).	
Télépathie		+1 en Int., Sag. ou Cha., vous pouvez lancer détection des pensées et parler télépathiquement à une créature à 18 m.	
Téléportation féerique	Elfe (haut), Gnome	"En puisant dans votre ascendance féerique, vous avez appris à vous téléporter. Vous obtenez les bénéfices suivants :
Augmentez votre valeur d'Intelligence de 1, pour un maximum de 20.
Vous apprenez le sort foulée brumeuse et pouvez le lancer une fois sans dépenser d'emplacement de sort. Vous récupérez la capacité de lancer ce sort de cette manière après avoir terminé un repos court ou long. L'Intelligence est votre caractéristique de lanceur de sorts dans le cadre de ce don."	
Ténacité naine	Nain	"Le sang des héros de la race naine coule dans vos veines. Vous obtenez les bénéfices suivants :
Augmentez votre valeur de Constitution de 1, pour un maximum de 20.
À chaque fois que vous utilisez l'action Esquiver en combat, vous pouvez dépenser un Dé de Vie pour vous soigner. Lancez le dé, ajoutez votre modificateur de Constitution, et récupérez un nombre de points de vie égal à ce total (pour un minimum de 1)."	
Tireur d'élite		"Vous êtes un maître du combat à distance et pouvez faire des tirs que d'autres penseraient impossible. Vous obtenez les avantages suivants :
Attaquer à longue portée n'impose pas de désavantage à vos jets d'attaque à distance avec une arme.
Vos attaques à distance avec une arme ignorent les abris partiels et les abris importants.
Avant de faire une attaque avec une arme à distance que vous maîtrisez, vous pouvez choisir de prendre un malus de -5 au jet d'attaque. Si l'attaque réussit, vous ajoutez +10 aux dégâts de l'attaque."	
Touché par les fées		+1 en Int., Sag. ou Cha., et vous apprenez foulée brumeuse et un sort de divination ou d'enchantement de niveau 1.	
Touché par les ombres		+1 en Int., Sag. ou Cha., et vous apprenez invisibilité et un sort d'illusion ou de nécromancie de niveau 1.	
Tradition naine	Nain	"Vous avez absorbé les vieilles histoires et traditions de vos ancêtres, vos dieux, votre peuple et étudier des sujets et techniques transmises de génération en génération. Vous obtenez les bénéfices suivants :
Vous obtenez la maîtrise des compétences Intelligence (Religion) et Intelligence (Histoire).
Vous obtenez la maîtrise des outils d'artisanat.
Lorsque vous faites un jet d'Intelligence (Religion) ou d'Intelligence (Histoire) concernant les nains, doublez le bonus de maîtrise si ce n'est pas déjà fait."	
Tueur de mages		"Vous avez pratiqué des techniques utiles en combat au corps à corps contre les lanceurs de sorts, et vous bénéficiez des avantages suivants :
Quand une créature dans un rayon de 1,50 mètre autour de vous lance un sort, vous pouvez utiliser votre réaction pour effectuer une attaque au corps à corps avec une arme contre cette créature.
Si vous touchez une créature qui se concentre sur un sort, cette créature a un désavantage à son jet de sauvegarde pour maintenir sa concentration.
Vous avez un avantage aux jets de sauvegarde contre les sorts lancés par les créatures dans un rayon de 1,50 mètre autour de vous."	
Vengence glorieuse	Nain	"Vous honorez la défaite de votre allié. Lorsqu'un allié dans un rayon de 18 mètres atteint 0 points de vie, vous obtenez les avantages suivants durant 1 minute ou jusqu'à ce que le responsable direct de son état soit éliminé :
Au début de chacun de vos tours, vous gagnez autant de points de vie temporaire que votre niveau.
Vous obtenez l'avantage aux jets d'attaque et de sauvegarde contre le responsable direct de la défaite de votre allié."	
Vigilant		"Toujours en train de guetter le danger, vous gagnez les avantages suivants :
Vous gagnez un bonus de +5 à l'initiative.
Vous ne pouvez pas être surpris tant que vous êtes conscient.
Les autres créatures n'ont pas un avantage aux jets d'attaque contre vous du fait que vous ne les voyez pas."	
Voix de la prophétie	Drakéide	Le drakéide perçoit des fragments de la Prophétie draconique à travers des visions, des rêves ou des intuitions soudaines. Il gagne des avantages lors de tests liés aux connaissances du passé, à la magie draconique ou à l’interprétation de signes mystiques, et peut parfois anticiper un danger imminent (+4 en initiative 1 fois par repos long).	x
