Liens	
43	La curiosité. Tant de choses ont été perdues, et tant d’autres restent à découvrir. Sûrement, les réponses existent, et il y a peu de choses que je ne ferais pas pour apprendre quelque chose de nouveau.
44	La connaissance. La connaissance, c’est le pouvoir, la compréhension et la sagesse. Rassemblé, préservé, accumulé ou transmis — le savoir vaut plus que tout l’or dans le trésor d’un dragon.
45	L’ascétisme. Ce n’est qu’en rejetant ce qui nous lie et nous aveugle — richesse matérielle, attachements, pouvoir et statut — que nous pouvons vraiment nous connaître nous-mêmes.
46	Le professionnalisme. Si un travail vaut la peine d’être fait, il en vaut la peine de bien faire, et je ne prends pas les emplois qui ne valent pas la peine d’être faits.
47	Du courage. Nous ne savons pas vraiment qui nous sommes avant d’avoir affronté la peur, regardé dans la bouche affamée de la mort et en ressortir.
48	Fiabilité. Il est important que l’on puisse compter sur chacun pour les personnes qui comptent le plus.
49	L’amitié. La vraie famille, ce sont ces liens que nous choisissons de forger, et je mourrais pour mes amis en un clin d’œil.
50	Destin. J’ai une vocation supérieure, et personne ni rien ne peut l’empêcher.
51	Indulgence. Nous n’avons qu’une seule vie, alors pourquoi ne pas l’utiliser pour tout goûter : plaisir, douleur, amour, chagrin, haine, et tous les fétiches et vices imaginables. Plus je m’adonne à la curiosité, aux envies et aux envies, plus je vis.
52	La simplicité. Une vie vécue simplement, tous les besoins comblés et rien de plus, sans fioritures ni indulgences, est le seul type de vie exempt de tentation, de vice et de péché.
53	Prudence. La modération en tout domaine et une approche prudente et réfléchie sont les signes d’un aventurier sage (et longévateur).
54	L’optimisme. Les choses finiront probablement par s’arranger pour le mieux, et même si ce n’est pas le cas, il y a sans doute une lueur d’espoir cachée parmi tous ces nuages.
55	Le pacifisme. Je déteste la violence et je préférerais toujours chercher une résolution d’un conflit qui n’implique pas de bain de sang.
56	L’égoïsme. Si ce n’est pas bon pour moi et mes objectifs, je n’en vois pas la valeur. Ça ne me dérange pas que d’autres s’en passent si je suis pris en charge, mais c’est parce que je le mérite, et ils feraient probablement pareil avec moi.
57	La compétition. Ce n’est qu’en mettant constamment à l’épreuve notre courage face aux adversaires les plus forts et talentueux que nous pouvons connaître notre propre valeur et nous améliorer.
58	Le pessimisme. Si quelque chose peut mal tourner, ça arrivera. Si vous pensez que le pire est arrivé, vous vous trompez ; Ça peut toujours être pire que ça.
59	La vengeance. Une injustice ne peut être réparée que par vengeance, sanglante ou non, et rien ne peut me convaincre de tendre l’autre joue.
60	La justice. Les torts doivent être réparés. La balance doit être équilibrée. Les coupables doivent payer pour leurs crimes.
61	Ordre. Le bien et le mal sont des préoccupations mesquines en plus du besoin de stabilité. Une société ordonnée doit être préservée, car l’ordre est préférable à long terme que la justice.
62	L’ambition. Le monde est une échelle faite de personnes, et je vais grimper jusqu’au sommet, soit en étant le meilleur, soit par tous les moyens nécessaires.
63	Anarchie. Dieux, rois, maîtres — tous des tyrans d’une autre tendance et tous ennemis de la liberté et du peuple. Leur heure viendra.
64	Flexibilité. Les survivants ne sont ni les plus forts ni les plus rapides ; Ce sont eux qui sont les plus capables de s’adapter à un nouveau monde.
65	Tolérance. Tant que tu ne t’en mêles pas à moi et aux miens, je me fiche de ce que tu fais.
66	Phlegmatisme. Une émotion forte et incontrôlée est tellement inconvenante. Le stoïcisme calme est un comportement qui mérite d’être cultivé.
67	La bienséance. Les bonnes manières et la morale sociale sont tout ce qui nous distingue des bêtes. L’observation appropriée des conventions est la plus importante.
68	Persévérance. Je sais que si je continue et que je n’abandonne pas, il n’y a rien que je ne puisse faire.
69	La sensualité. La passion, l’émotion et le plaisir sont ce qui me motive dans tout.
70	La célébrité. Le monde connaîtra mon nom avant que j’aie fini.
71	Stabilité. Je suis fier d’être celui qui tient le coup quand tout le reste s’effondre et brûle.
72	Sensibilité. Il est plus important d’être gentil que d’avoir raison, alors j’ai appris à lire une pièce.
73	Patience. Toutes les bonnes choses arrivent à ceux qui attendent le bon moment pour frapper.
74	La sagesse. Qu’il s’agisse de grimoires poussiéreuses et de rouleaux ou des dures réalités de la vie dans la rue, cultiver la sagesse (et écouter quand les gens sages ont quelque chose à dire) est la chose la plus importante pour moi.
75	Popularité. Je veux juste que tout le monde m’aime. Tu serais surpris de ce que tu peux faire quand les gens t’aiment.
76	Le patriotisme. Je dois ma vie et mon service à mon pays, et je me battrai pour offrir un avenir meilleur à tous ceux qui l’appellent chez eux.
77	L’argent. Le monde tourne comme une grande roue, et l’or et l’argent sont les carburants qui le font vibrer. Accumulez assez d’argent, et vous êtes intouchable — un roi, une sorte de dieu.
78	L’hospitalité. Les anciens rites de l’hôte et de l’invité sont d’une importance immense, et je préférerais mourir plutôt que d’attaquer un étranger chez moi qui n’aurait pas levé son arme contre moi ni insulté la cuisine de mon hôte.
79	Révolution. Le monde est pourri et cruel, divisé entre ceux qui en ont et ceux qui ont une botte sur le cou. Pour construire un avenir meilleur, nous devons démolir le présent.
80	Courage. Le courage face au danger et à la peur est la marque d’un véritable héros.
81	Résilience. La force et l’endurance face à l’adversité et aux difficultés sont la vertu la plus importante que vous puissiez cultiver dans cette vie.
82	Sacrifice. Parfois, nous devons renoncer à des choses pour un bien supérieur afin de plaire aux dieux et d’obtenir ce que nous voulons.
83	De l’audace. Je vis sans peur, agissant d’abord et délibérant ensuite. Seuls les audacieux avancent dans ce monde.
	
Alignement	
1. Loyal bon – Promeut des valeurs sociales et éthiques positives.	
2. Loyal Neutre – Respecteurs des règles, lois et codes de conduite	
3. Loyal Mauvais – Structure et règles pour leurs propres fins	
4. Neutre Bon – Cherchez à promouvoir la morale éthique, indépendamment des lois	
5. Neutre – Libéré des lois ou de la morale dans sa vision	
6. Neutre Mauvais – Recherche de gain personnel et prêt à faire des sacrifices	
7. Chaotique Bon – Anti-autoritaires cherchant à promouvoir leur vision du bien	
8. Chaotique Neutre – Accorde une grande importance aux libertés individuelles avant tout	
9. Chaotic Mauvais – Opposé à la hiérarchie sociale et au bien communautaire	
